COUNTY,DATE,WATER,TOWN,SPECIES,QTY,SIZE (inch),X_coord,Y_coord,ABUNDANCE
Androscoggin,2025-02-11,RANGE P (LOWER),Poland,BROOK TROUT,300,14,-70.3691480065,44.043731033,
Cumberland,2025-04-03,SONGO R,Casco,BROOK TROUT,100,16,-70.5745032788899,43.93073094035069,
Cumberland,2025-04-03,JORDAN R,Raymond,BROOK TROUT,100,16,-70.46205177119016,43.89688671354856,
Cumberland,2025-04-03,PRESUMPSCOT R,Windham,BROOK TROUT,200,16,-70.41072422739504,43.7172514296907,
Cumberland,2025-04-07,COLLYER B,Gray,BROOK TROUT,100,10,-70.30271268141354,43.90590672232054,
Cumberland,2025-04-07,COLLYER B,Gray,BROOK TROUT,100,10,-70.30271268141354,43.90590672232054,
Cumberland,2025-04-07,BRANDY B,New Gloucester,BROOK TROUT,100,10,-70.30438023529283,43.961887064897894,
Cumberland,2025-04-07,COLLYER B,Gray,BROOK TROUT,100,10,-70.30271268141354,43.90590672232054,
York,2025-04-08,OGUNQUIT R,Wells,BROOK TROUT,100,10,-70.64612336217733,43.26421270385303,
York,2025-04-08,WORSTER B,Berwick,BROOK TROUT,100,10,-70.83434842376559,43.27652662838584,
York,2025-04-08,OGUNQUIT R,Wells,BROOK TROUT,100,10,-70.64612336217733,43.26421270385303,
York,2025-04-08,JOSIAS R,York,BROOK TROUT,75,10,-70.62249347402832,43.226682824567135,
York,2025-04-08,CAPE NEDDICK R,York,BROOK TROUT,100,10,-70.62272996966985,43.1928776747739,
York,2025-04-08,WORSTER B,Berwick,BROOK TROUT,100,10,-70.83434842376559,43.27652662838584,
York,2025-04-08,CAPE NEDDICK R,York,BROOK TROUT,100,10,-70.62272996966985,43.1928776747739,
York,2025-04-08,GOFF MILL B,Kennebunkport,BROOK TROUT,150,10,-70.48544824511966,43.37810566697907,
York,2025-04-08,OGUNQUIT R,Wells,BROOK TROUT,100,10,-70.64612336217733,43.26421270385303,
York,2025-04-08,GOFF MILL B,Kennebunkport,BROOK TROUT,150,10,-70.48544824511966,43.37810566697907,
Cumberland,2025-04-10,CHANDLER B,North Yarmouth,BROOK TROUT,100,10,-70.22025628506549,43.87608331421369,
Cumberland,2025-04-10,CHANDLER B,Pownal,BROOK TROUT,200,10,-70.19772813370281,43.88821760305896,
Cumberland,2025-04-10,PLEASANT R,Windham,BROOK TROUT,100,10,-70.44757621457344,43.75779293208213,
Cumberland,2025-04-10,ROYAL R,Yarmouth,BROOK TROUT,100,10,-70.18035592386957,43.80101591129432,
Cumberland,2025-04-10,CHANDLER B (EAST BRANCH),Pownal,BROOK TROUT,150,10,-70.14872987593685,43.893575696050654,
Cumberland,2025-04-10,CHANDLER B,Pownal,BROOK TROUT,200,10,-70.19772813370281,43.88821760305896,
Cumberland,2025-04-10,ROYAL R,New Gloucester,BROOK TROUT,100,10,-70.3167292785,43.9827134057,
Cumberland,2025-04-10,ROYAL R,New Gloucester,BROOK TROUT,100,10,-70.3167292785,43.9827134057,
Androscoggin,2025-04-10,ROYAL R,Auburn,BROOK TROUT,100,10,-70.2604662186373,44.00676908685673,
Androscoggin,2025-04-10,ROYAL R,Auburn,BROOK TROUT,100,10,-70.2604662186373,44.00676908685673,
Cumberland,2025-04-10,CHANDLER B (EAST BRANCH),Pownal,BROOK TROUT,150,10,-70.14872987593685,43.893575696050654,
Cumberland,2025-04-10,CHANDLER B (EAST BRANCH),Pownal,BROOK TROUT,200,10,-70.14872987593685,43.893575696050654,
Cumberland,2025-04-10,ROYAL R,Yarmouth,BROOK TROUT,100,10,-70.18035592386957,43.80101591129432,
Cumberland,2025-04-11,PRESUMPSCOT R,Windham,BROOK TROUT,100,10,-70.41072422739504,43.7172514296907,
Cumberland,2025-04-11,CHAFFIN P,Windham,BROOK TROUT,200,10,-70.4433516075,43.8484878406,
Cumberland,2025-04-11,PRESUMPSCOT R,Windham,BROOK TROUT,200,10,-70.41072422739504,43.7172514296907,
Cumberland,2025-04-11,PRESUMPSCOT R,Windham,BROOK TROUT,200,10,-70.41072422739504,43.7172514296907,
Cumberland,2025-04-11,PLEASANT R,Windham,BROOK TROUT,150,10,-70.44757621457344,43.75779293208213,
Cumberland,2025-04-11,PRESUMPSCOT R,Windham,BROOK TROUT,100,10,-70.41072422739504,43.7172514296907,
Cumberland,2025-04-11,PLEASANT R,Windham,BROOK TROUT,150,10,-70.44757621457344,43.75779293208213,
Cumberland,2025-04-11,SABBATHDAY L,New Gloucester,BROOK TROUT,500,10,-70.3542643237,43.9780003425,
Cumberland,2025-04-11,STEVENS B,New Gloucester,BROOK TROUT,100,10,-70.3408572376,43.9604528992,
Cumberland,2025-04-11,PLEASANT R,Windham,BROOK TROUT,100,10,-70.44757621457344,43.75779293208213,
Cumberland,2025-04-11,PRESUMPSCOT R,Windham,BROOK TROUT,200,10,-70.41072422739504,43.7172514296907,
Androscoggin,2025-04-15,WORTHLEY P,Poland,BROOK TROUT,200,10,-70.344776845,44.0187622925,
Oxford,2025-04-15,HALLS P,Paris,BROOK TROUT,300,10,-70.4571823251,44.2184173478,
York,2025-04-16,KEAY B,Berwick,BROOK TROUT,200,10,-70.90326502664405,43.317131744787645,
York,2025-04-16,LITTLE R,Berwick,BROOK TROUT,150,10,-70.87472329147802,43.3171919488783,
York,2025-04-16,LITTLEFIELD P,Sanford,BROOK TROUT,350,9,-70.7921941367,43.4838704645,
York,2025-04-16,MOUSAM R,Sanford,BROOK TROUT,150,10,-70.67967592793332,43.426169662755875,
York,2025-04-16,MOUSAM R,Sanford,BROOK TROUT,100,10,-70.67967592793332,43.426169662755875,
York,2025-04-16,MOUSAM R,Sanford,BROOK TROUT,100,10,-70.67967592793332,43.426169662755875,
York,2025-04-16,COOKS B,Dayton,BROOK TROUT,100,10,-70.61835322385338,43.56170056933495,
York,2025-04-16,LITTLE R,Lebanon,BROOK TROUT,100,10,-70.84626145257126,43.39512339898952,
York,2025-04-16,NEOUTAQUET R,North Berwick,BROOK TROUT,125,10,-70.77747390324089,43.335114426759546,
York,2025-04-16,KNIGHT P,South Berwick,BROOK TROUT,150,10,-70.7614548069,43.2543771707,
York,2025-04-16,MATHEW'S MILL P,Berwick,BROOK TROUT,200,10,-70.8289972847,43.2876869403,
York,2025-04-16,THACHER B,Biddeford,BROOK TROUT,100,10,-70.48041635860373,43.49343135666241,
York,2025-04-16,LITTLE R,Berwick,BROOK TROUT,150,10,-70.87472329147802,43.3171919488783,
York,2025-04-16,NEOUTAQUET R,North Berwick,BROOK TROUT,125,10,-70.77747390324089,43.335114426759546,
York,2025-04-16,LEAVITT B,Limerick,BROOK TROUT,100,10,-70.77118822394031,43.708847714142614,
York,2025-04-16,WILCOX P,Biddeford,BROOK TROUT,200,10,-70.4571321892,43.4712151306,
York,2025-04-16,MOUSAM R,Shapleigh,BROOK TROUT,150,10,-70.8336806638352,43.488052008244175,
York,2025-04-16,SWAN POND B,Dayton,BROOK TROUT,100,10,-70.9368004942,43.6000742902,
York,2025-04-16,SWAN POND B,Dayton,BROOK TROUT,100,10,-70.9368004942,43.6000742902,
York,2025-04-16,COOKS B,Dayton,BROOK TROUT,100,10,-70.61835322385338,43.56170056933495,
York,2025-04-16,SWAN POND B,Dayton,BROOK TROUT,100,10,-70.9368004942,43.6000742902,
