,COUNTY,DATE,WATER,TOWN,SPECIES,QTY,SIZE (inch)
69,Androscoggin,2024-10-17,WORTHLEY P,Poland,BROOK TROUT,175,12
70,Androscoggin,2024-10-18,BEAVER PARK P #3,Lisbon,BROOK TROUT,200,7
71,Androscoggin,2024-10-29,PLEASANT P,Turner,L.L. SALMON,50,12
72,Androscoggin,2024-11-06,TRIPP P,Poland,BROWN TROUT,100,12
73,Androscoggin,2024-11-06,WORTHLEY P,Poland,BROWN TROUT,75,12
74,Androscoggin,2024-11-06,WORTHLEY P,Poland,BROOK TROUT,15,17
75,Androscoggin,2024-11-15,RANGE P (MIDDLE),Poland,BROOK TROUT,15,19
76,Androscoggin,2024-11-15,RANGE P (UPPER),Poland,BROOK TROUT,10,19
77,Androscoggin,2024-11-19,BARTLETT P,Livermore,BROOK TROUT,40,17
78,Androscoggin,2024-11-19,BRETTUNS P,Livermore,BROOK TROUT,25,17
79,Androscoggin,2024-11-19,ROUND P,Livermore,BROOK TROUT,25,17
80,Androscoggin,2024-11-26,TRIPP P,Poland,L.L. SALMON,40,20
81,Androscoggin,2024-11-27,ANDROSCOGGIN R (LITTLE),Minot,RAINBOW TROUT,25,20
82,Androscoggin,2024-11-27,RANGE P (MIDDLE),Poland,RAINBOW TROUT,50,20
83,Androscoggin,2024-11-27,RANGE P (UPPER),Poland,RAINBOW TROUT,50,20
84,Androscoggin,2024-12-03,TRIPP P,Poland,BROWN TROUT,50,18
85,Aroostook,2024-04-11,BROWN P,Houlton,BROOK TROUT,100,10
86,Aroostook,2024-04-11,MUD P,Linneus,BROOK TROUT,600,10
87,Aroostook,2024-04-11,NICKERSON L,New Limerick,BROOK TROUT,400,10
88,Aroostook,2024-04-11,PLEASANT L,Island Falls,BROOK TROUT,1700,10
89,Aroostook,2024-04-11,STEWART P,Hodgdon,BROOK TROUT,250,10
90,Aroostook,2024-04-11,STILES P,Dyer Brook,BROOK TROUT,250,10
91,Aroostook,2024-04-23,MONSON P,Fort Fairfield,BROOK TROUT,2000,10
92,Aroostook,2024-04-26,DREWS (MEDUXNEKEAG) L,Linneus,BROWN TROUT,450,9
93,Aroostook,2024-04-30,ARNOLD BROOK L,Presque Isle,BROOK TROUT,300,10
94,Aroostook,2024-04-30,CONROY L,Monticello,BROOK TROUT,500,10
95,Aroostook,2024-04-30,LOGAN L,Houlton,BROOK TROUT,250,10
96,Aroostook,2024-04-30,ROCK CRUSHER P,Island Falls,BROOK TROUT,300,10
97,Aroostook,2024-05-01,DEERING L,Weston,BROOK TROUT,750,10
98,Aroostook,2024-05-01,HANNINGTON P,Reed Plt,BROOK TROUT,300,10
99,Aroostook,2024-05-02,GRAND L (EAST),Weston,BROOK TROUT,1500,10
100,Aroostook,2024-05-06,ROCKABEMA L,Moro Plt,BROOK TROUT,800,10
101,Aroostook,2024-05-08,MATTAWAMKEAG R,Haynesville,BROOK TROUT,1500,10
102,Aroostook,2024-05-08,MATTAWAMKEAG R (EAST BRANCH),Forkstown Twp,BROOK TROUT,1000,10
103,Aroostook,2024-05-08,MATTAWAMKEAG R (EAST BRANCH),Oakfield,BROOK TROUT,600,10
104,Aroostook,2024-05-13,CORBIN P,Grand Isle,BROOK TROUT,200,10
105,Aroostook,2024-05-13,MEDUXNEKEAG R (NORTH BRANCH),Monticello,BROOK TROUT,275,10
106,Aroostook,2024-05-13,MEDUXNEKEAG R (NORTH BRANCH),TC R2 WELS,BROOK TROUT,275,10
107,Aroostook,2024-05-13,MICHAUD P,Fort Kent,BROOK TROUT,200,10
108,Aroostook,2024-05-13,PORTAGE HILLS COUNTRY CLUB P,Portage Lake,BROOK TROUT,150,10
109,Aroostook,2024-05-15,BEAU L,T19 R11 WELS,LAKE TROUT,800,6
110,Aroostook,2024-05-15,BEAVER TAIL P,T14 R9 WELS,BROOK TROUT,295,11
111,Aroostook,2024-05-15,BLACK P (LITTLE SO),T15 R9 WELS,BROOK TROUT,70,11
112,Aroostook,2024-05-15,GLAZIER L,T18 R10 WELS,LAKE TROUT,1000,6
113,Aroostook,2024-05-15,MOCCASIN P,T14 R8 WELS,BROOK TROUT,90,11
114,Aroostook,2024-05-15,ROUND MOUNTAIN P,T11 R8 WELS,BROOK TROUT,450,10
115,Aroostook,2024-05-15,SLY BROOK L (THIRD),New Canada,L.L. SALMON,150,7
116,Aroostook,2024-05-16,DEERING L,Weston,L.L. SALMON,320,7
117,Aroostook,2024-05-16,GRAND L (EAST),Orient,L.L. SALMON,2100,7
118,Aroostook,2024-05-16,GRAND L (EAST),Weston,L.L. SALMON,2100,7
119,Aroostook,2024-05-16,SPAULDING L,Oakfield,BROOK TROUT,800,9
120,Aroostook,2024-05-23,PLEASANT L,Island Falls,L.L. SALMON,650,7
121,Aroostook,2024-05-24,GRAND L (EAST),Orient,BROOK TROUT,1500,9
122,Aroostook,2024-05-28,LONG L,T17 R4 WELS,L.L. SALMON,3800,8
123,Aroostook,2024-05-29,MANTLE L,Presque Isle,BROOK TROUT,500,11
124,Aroostook,2024-05-29,MATTAWAMKEAG R,Haynesville,BROOK TROUT,600,10
125,Aroostook,2024-05-29,MATTAWAMKEAG R (EAST BRANCH),Forkstown Twp,BROOK TROUT,600,10
126,Aroostook,2024-05-30,CHURCH ON THE HILL P,Houlton,BROOK TROUT,150,10
127,Aroostook,2024-06-04,MCNALLY P (UPPER),T11 R10 WELS,BROOK TROUT,1000,11
128,Aroostook,2024-06-11,MATTAWAMKEAG R,Haynesville,BROOK TROUT,660,10
129,Aroostook,2024-06-13,TOGUE P,T15 R9 WELS,L.L. SALMON,250,7
130,Aroostook,2024-07-03,LIMESTONE STREAM,Limestone,BROOK TROUT,200,11
131,Aroostook,2024-09-19,DUREPO L,Limestone,BROOK TROUT,2000,8
132,Aroostook,2024-09-19,TIMONEY L,Oakfield,BROOK TROUT,3000,8
133,Aroostook,2024-09-19,TRAFTON L,Limestone,BROOK TROUT,2500,8
134,Aroostook,2024-09-23,BLACK P,Saint John Plt,BROOK TROUT,400,8
135,Aroostook,2024-09-23,DICKWOOD L,Eagle Lake,BROOK TROUT,2000,8
136,Aroostook,2024-09-23,FOX P,T17 R12 WELS,BROOK TROUT,200,8
137,Aroostook,2024-09-23,HALE P,Moro Plt,BROOK TROUT,700,8
138,Aroostook,2024-09-23,RIDEOUT P,T19 R12 WELS,BROOK TROUT,50,8
139,Aroostook,2024-09-23,UGH L,T12 R14 WELS,BROOK TROUT,1000,8
140,Aroostook,2024-09-24,CARRY L,Littleton,BROOK TROUT,1500,8
141,Aroostook,2024-09-24,HANSON BROOK L,Mapleton,BROOK TROUT,2500,8
142,Aroostook,2024-09-25,ECHO L,Presque Isle,BROOK TROUT,6000,8
143,Aroostook,2024-09-26,FAULKNER L,Weston,BROOK TROUT,200,13
144,Aroostook,2024-09-26,FISH RIVER,Fort Kent,L.L. SALMON,650,12
145,Aroostook,2024-09-26,FISH RIVER,Fort Kent,BROOK TROUT,1000,13
146,Aroostook,2024-09-26,SCOPAN STREAM,Masardis,L.L. SALMON,350,12
147,Aroostook,2024-09-30,DEEP L #1,Littleton,BROOK TROUT,600,8
148,Aroostook,2024-09-30,HODGDON DEADWATER,Hodgdon,BROWN TROUT,250,12
149,Aroostook,2024-09-30,ISLAND P,T14 R8 WELS,BROOK TROUT,500,7
150,Aroostook,2024-09-30,NICKERSON L,New Limerick,BROWN TROUT,200,12
151,Aroostook,2024-09-30,NUMBER NINE L,T9 R3 WELS,BROOK TROUT,500,7
152,Aroostook,2024-09-30,SPAULDING L,Oakfield,BROOK TROUT,400,13
153,Aroostook,2024-09-30,STILES P,Dyer Brook,BROOK TROUT,150,8
154,Aroostook,2024-10-02,MATTAWAMKEAG L,T4 R3 WELS,L.L. SALMON,600,12
155,Aroostook,2024-10-07,NICKERSON L,New Limerick,BROOK TROUT,800,13
156,Aroostook,2024-10-07,ROCK CRUSHER P,Island Falls,BROOK TROUT,200,13
