,COUNTY,DATE,WATER,TOWN,SPECIES,QTY,SIZE (inch)
316,Cumberland,2024-11-18,TRICKEY P,Naples,BROOK TROUT,50,12
317,Cumberland,2024-11-19,CHAFFIN P,Windham,BROOK TROUT,400,8
318,Cumberland,2024-11-19,HINKLEY P (LOWER),South Portland,BROOK TROUT,400,8
319,Cumberland,2024-11-19,HINKLEY P (UPPER),South Portland,BROOK TROUT,400,8
320,Cumberland,2024-11-19,OTTER P #2,Standish,BROOK TROUT,400,8
321,Cumberland,2024-11-19,OTTER P #4,Standish,BROOK TROUT,400,8
322,Cumberland,2024-11-20,PRESUMPSCOT R,Windham,BROOK TROUT,100,12
323,Cumberland,2024-11-20,PRESUMPSCOT R,Windham,BROOK TROUT,15,19
324,Cumberland,2024-11-22,COFFEE P,Casco,BROOK TROUT,300,12
325,Cumberland,2024-11-22,THOMAS P,Casco,BROOK TROUT,15,17
326,Cumberland,2024-11-27,CRYSTAL L (DRY P),Gray,RAINBOW TROUT,25,20
327,Cumberland,2024-11-27,SEBAGO L (LITTLE),Windham,RAINBOW TROUT,50,20
328,Cumberland,2024-12-03,LONG L,Harrison,BROWN TROUT,95,18
329,Cumberland,2024-12-03,PRESUMPSCOT R,Windham,BROWN TROUT,75,18
330,Cumberland,2024-12-03,PRESUMPSCOT R,Windham,L.L. SALMON,100,18
331,Cumberland,2024-12-03,ROYAL R,Yarmouth,BROWN TROUT,50,18
332,Cumberland,2024-12-04,THOMAS P,Casco,L.L. SALMON,30,18
333,Cumberland,2024-12-18,PETTINGILL P,Windham,BROOK TROUT,100,12
334,Cumberland,2024-12-18,PRESUMPSCOT R,Windham,BROOK TROUT,100,12
335,Franklin,2024-04-12,MUDDY B,Industry,BROOK TROUT,50,10
336,Franklin,2024-04-19,CARRABASSETT R,Carrabasset Valley,BROOK TROUT,250,10
337,Franklin,2024-04-19,CARRABASSETT R,Kingfield,BROOK TROUT,450,10
338,Franklin,2024-04-19,WILSON STREAM,Wilton,BROOK TROUT,250,10
339,Franklin,2024-04-22,EGYPT P,Chesterville,BROOK TROUT,300,10
340,Franklin,2024-04-22,HILLS P,Perkins Twp,BROOK TROUT,350,10
341,Franklin,2024-04-22,TOOTHAKER P,Phillips,BROOK TROUT,400,10
342,Franklin,2024-04-23,CLEARWATER P,Industry,BROOK TROUT,1500,10
343,Franklin,2024-04-23,MUDDY B,Industry,BROOK TROUT,50,10
344,Franklin,2024-04-23,PORTER L,Strong,BROOK TROUT,1210,10
345,Franklin,2024-04-24,SANDY R,Farmington,BROOK TROUT,1500,10
346,Franklin,2024-04-24,SANDY R,Madrid,BROOK TROUT,200,10
347,Franklin,2024-04-24,SANDY R,New Sharon,BROOK TROUT,350,10
348,Franklin,2024-04-24,SANDY R,Phillips,BROOK TROUT,500,10
349,Franklin,2024-04-24,SANDY R,Strong,BROOK TROUT,500,10
350,Franklin,2024-04-24,WEBB R,Carthage,BROOK TROUT,700,10
351,Franklin,2024-04-29,DEAD R (SOUTH BRANCH),Coplin Plt,BROOK TROUT,220,10
352,Franklin,2024-04-29,DEAD R (SOUTH BRANCH),Dallas Plt,BROOK TROUT,440,10
353,Franklin,2024-04-29,DEAD R (SOUTH BRANCH),Lang Twp,BROOK TROUT,220,10
354,Franklin,2024-05-01,WILSON STREAM,Wilton,BROOK TROUT,495,10
355,Franklin,2024-05-02,MT BLUE HIGH SCHOOL P,Farmington,BROOK TROUT,55,10
356,Franklin,2024-05-02,TEMPLE STREAM,Farmington,BROOK TROUT,220,10
357,Franklin,2024-05-02,TEMPLE STREAM,Temple,BROOK TROUT,330,10
358,Franklin,2024-05-06,BUG EYE P,Chain of Ponds Twp,BROOK TROUT,200,10
359,Franklin,2024-05-06,CARIBOU BOG,Chain of Ponds Twp,BROOK TROUT,150,10
360,Franklin,2024-05-06,CHAIN OF PONDS,Chain of Ponds Twp,BROOK TROUT,1450,10
361,Franklin,2024-05-06,DEAD R (NORTH BRANCH),Alder Stream Twp,BROOK TROUT,750,10
362,Franklin,2024-05-07,CARRABASSETT R,Kingfield,BROOK TROUT,200,10
363,Franklin,2024-05-07,GRINDSTONE P,Kingfield,BROOK TROUT,250,10
364,Franklin,2024-05-07,PINNACLE P,Kingfield,BROOK TROUT,150,10
365,Franklin,2024-05-09,LOON L,Dallas Plt,L.L. SALMON,100,7
366,Franklin,2024-05-09,LOON L,Dallas Plt,BROOK TROUT,200,10
367,Franklin,2024-05-09,QUIMBY P,Rangeley,BROOK TROUT,350,10
368,Franklin,2024-05-13,PODUNK P,Carthage,BROOK TROUT,350,10
369,Franklin,2024-05-13,SANDY R,Farmington,BROWN TROUT,1000,9
370,Franklin,2024-05-13,SANDY R,New Sharon,BROWN TROUT,900,9
371,Franklin,2024-05-14,DODGE P,Rangeley,BROOK TROUT,750,10
372,Franklin,2024-05-14,HALEY B,Rangeley,BROOK TROUT,150,10
373,Franklin,2024-05-14,HALEY P,Rangeley,BROOK TROUT,600,10
374,Franklin,2024-05-14,RANGELEY GUIDES P,Rangeley,BROOK TROUT,75,10
375,Franklin,2024-05-14,RANGELEY L,Rangeley,L.L. SALMON,900,7
376,Franklin,2024-05-14,RANGELEY L,Rangeley,BROOK TROUT,1000,10
377,Franklin,2024-05-14,ROUND P,Rangeley,BROOK TROUT,400,10
378,Franklin,2024-05-14,SANDY RIVER P (MIDDLE),Sandy River Plt,BROOK TROUT,200,10
379,Franklin,2024-05-14,SANDY RIVER P (MIDDLE),Sandy River Plt,BROOK TROUT,600,10
380,Franklin,2024-05-14,VARNUM P,Wilton,L.L. SALMON,100,7
381,Franklin,2024-05-14,VARNUM P,Wilton,BROOK TROUT,1000,10
382,Franklin,2024-05-15,JIM P (BIG),Jim Pond Twp,BROOK TROUT,550,10
383,Franklin,2024-05-15,SANDY R,Farmington,BROWN TROUT,1800,9
384,Franklin,2024-05-16,MUD POND,Township 6 North of Weld,BROOK TROUT,450,2
385,Franklin,2024-05-16,OTTER P,Chain of Ponds Twp,BROOK TROUT,150,10
386,Franklin,2024-05-16,SADDLEBACK L,Dallas Plt,BROOK TROUT,1000,10
387,Franklin,2024-05-16,SCHOOLHOUSE P,Avon,BROOK TROUT,125,10
388,Franklin,2024-05-21,CARRABASSETT R,Kingfield,RAINBOW TROUT,200,11
389,Franklin,2024-05-21,TEA P,Jim Pond Twp,L.L. SALMON,100,7
390,Franklin,2024-05-21,TEA P,Jim Pond Twp,BROOK TROUT,1000,10
391,Franklin,2024-05-21,TEMPLE STREAM,Farmington,BROOK TROUT,200,10
392,Franklin,2024-05-21,TEMPLE STREAM,Temple,BROOK TROUT,300,10
393,Franklin,2024-05-21,WILSON P,Wilton,BROOK TROUT,433,10
394,Franklin,2024-05-21,WILSON P,Wilton,BROOK TROUT,433,10
395,Franklin,2024-05-21,WILSON P,Wilton,BROOK TROUT,433,10
396,Franklin,2024-05-21,WILSON STREAM,Wilton,BROOK TROUT,450,10
397,Franklin,2024-05-22,DEAD R (NORTH BRANCH),Alder Stream Twp,BROOK TROUT,750,10
398,Franklin,2024-05-22,DEAD R (SOUTH BRANCH),Coplin Plt,BROOK TROUT,200,10
399,Franklin,2024-05-22,DEAD R (SOUTH BRANCH),Dallas Plt,BROOK TROUT,400,10
400,Franklin,2024-05-22,DEAD R (SOUTH BRANCH),Lang Twp,BROOK TROUT,200,10
401,Franklin,2024-05-22,HARVEY P,Madrid,BROOK TROUT,200,10
402,Franklin,2024-05-22,LONG COVE P,Phillips,BROOK TROUT,100,10
403,Franklin,2024-05-24,BOUNDARY P,Beattie Twp,BROOK TROUT,700,10
404,Franklin,2024-05-24,GULL P,Dallas Plt,BROOK TROUT,900,10
405,Franklin,2024-05-28,MUDDY B,Industry,BROOK TROUT,100,10
406,Franklin,2024-05-29,PINNACLE P,Kingfield,BROOK TROUT,50,9
407,Franklin,2024-05-29,PORTER L,Strong,BROOK TROUT,250,9
408,Franklin,2024-06-05,CARRABASSETT R,Kingfield,RAINBOW TROUT,200,11
409,Franklin,2024-06-05,HALEY B,Rangeley,BROOK TROUT,150,10
410,Franklin,2024-06-05,RANGELEY GUIDES P,Rangeley,BROOK TROUT,82,10
411,Franklin,2024-06-06,MUDDY B,Industry,BROOK TROUT,50,10
412,Franklin,2024-06-11,TEA P (LITTLE),Jim Pond Twp,BROOK TROUT,270,3
413,Franklin,2024-06-11,VILES P (LITTLE),Jim Pond Twp,BROOK TROUT,360,3
414,Franklin,2024-06-18,THE HORNS P,Wyman Twp,BROOK TROUT,300,3
415,Franklin,2024-06-28,RANGELEY GUIDES P,Rangeley,BROOK TROUT,110,10
416,Franklin,2024-09-23,CHAIN OF PONDS,Chain of Ponds Twp,BROOK TROUT,600,12
417,Franklin,2024-09-27,EDDY P,Sandy River Plt,BROOK TROUT,400,6
418,Franklin,2024-09-27,LEDGE P,Sandy River Plt,BROOK TROUT,250,6
419,Franklin,2024-09-27,LONG P,Township E,BROOK TROUT,2850,6
420,Franklin,2024-09-27,LOON L,Dallas Plt,BROOK TROUT,3500,6
421,Franklin,2024-09-27,MIDWAY P,Sandy River Plt,BROOK TROUT,350,6
422,Franklin,2024-09-27,MOXIE P,Township D,BROOK TROUT,200,6
423,Franklin,2024-09-27,ROCK P,Sandy River Plt,BROOK TROUT,500,6
424,Franklin,2024-09-27,ROUND P,Township E,BROOK TROUT,1520,6
425,Franklin,2024-09-27,SOUTH (PINE TREE) P,Sandy River Plt,BROOK TROUT,600,6
426,Franklin,2024-09-27,SPENCER P,Township D,BROOK TROUT,800,6
427,Franklin,2024-09-27,STETSON P,Phillips,BROOK TROUT,800,6
428,Franklin,2024-09-27,SWIFT RIVER P,Township E,BROOK TROUT,450,6
429,Franklin,2024-09-27,TUMBLEDOWN P,Township 6 North of Weld,BROOK TROUT,450,6
430,Franklin,2024-09-30,HURRICANE P,Kibby Twp,BROOK TROUT,1000,7
431,Franklin,2024-09-30,INDIAN P (BIG),Lowelltown Twp,BROOK TROUT,1950,7
432,Franklin,2024-10-01,DUTTON (SHILOH) P,Kingfield,BROOK TROUT,1200,6
433,Franklin,2024-10-02,MOUNT BLUE P,Avon,SPLAKE,750,13
434,Franklin,2024-10-04,BLANCHARD P,Alder Stream Twp,BROOK TROUT,350,6
435,Franklin,2024-10-07,CLEARWATER P,Industry,BROOK TROUT,1000,12
436,Franklin,2024-10-07,CLEARWATER P,Industry,L.L. SALMON,250,13
437,Franklin,2024-10-07,LUFKIN P,Phillips,SPLAKE,350,13
438,Franklin,2024-10-08,BEAL (TROUT) P,Madrid,BROOK TROUT,1600,6
439,Franklin,2024-10-08,CARRABASSETT R,Kingfield,BROOK TROUT,150,12
440,Franklin,2024-10-08,DEAD R (SOUTH BRANCH),Dallas Plt,BROOK TROUT,400,12
441,Franklin,2024-10-08,SANDY R,Farmington,BROOK TROUT,350,12
442,Franklin,2024-10-08,SANDY R,Madrid,BROOK TROUT,50,12
443,Franklin,2024-10-08,SANDY R,New Sharon,BROOK TROUT,50,12
444,Franklin,2024-10-08,SANDY R,Phillips,BROOK TROUT,50,12
445,Franklin,2024-10-08,SANDY R,Strong,BROOK TROUT,100,12
446,Franklin,2024-10-09,BEAVER P,Township D,BROOK TROUT,1900,7
447,Franklin,2024-10-09,BEAVER P,Township D,BROOK TROUT,150,12
448,Franklin,2024-10-09,HARVEY P,Madrid,BROOK TROUT,150,12
449,Franklin,2024-10-09,HILLS P,Perkins Twp,BROOK TROUT,2200,7
450,Franklin,2024-10-09,LOON L,Dallas Plt,BROOK TROUT,350,12
451,Franklin,2024-10-09,TOOTHAKER P,Phillips,BROOK TROUT,200,6
452,Franklin,2024-10-15,WEBB L,Weld,BROOK TROUT,500,12
453,Franklin,2024-10-15,WEBB L,Weld,BROOK TROUT,500,13
454,Franklin,2024-10-15,WEBB L,Weld,L.L. SALMON,100,14
455,Franklin,2024-10-16,GREENBUSH P,Jim Pond Twp,BROOK TROUT,75,12
456,Franklin,2024-10-16,JIM P (LITTLE),Jim Pond Twp,BROOK TROUT,1000,7
457,Franklin,2024-10-16,WEBB L,Weld,BROOK TROUT,500,12
458,Franklin,2024-10-16,WEBB L,Weld,BROOK TROUT,500,13
459,Franklin,2024-10-17,WILSON P,Wilton,BROOK TROUT,366,12
460,Franklin,2024-10-17,WILSON P,Wilton,BROOK TROUT,366,13
461,Franklin,2024-10-17,WILSON P,Wilton,L.L. SALMON,150,14
462,Franklin,2024-10-18,CROWELL P,New Sharon,BROOK TROUT,1250,12
463,Franklin,2024-10-18,PORTER L,Strong,L.L. SALMON,300,14
464,Franklin,2024-10-22,CLEARWATER P,Industry,BROOK TROUT,250,13
465,Franklin,2024-10-22,HARVEY P,Madrid,BROOK TROUT,50,13
466,Franklin,2024-10-22,PORTER L,Strong,BROOK TROUT,1250,13
467,Franklin,2024-10-22,SANDY RIVER P (MIDDLE),Sandy River Plt,BROOK TROUT,300,13
468,Franklin,2024-10-22,TOOTHAKER P,Phillips,BROOK TROUT,250,13
469,Franklin,2024-10-23,HALEY P,Rangeley,BROOK TROUT,450,14
470,Franklin,2024-10-23,NORCROSS P,Chesterville,BROOK TROUT,800,12
471,Franklin,2024-10-23,PORTER L,Strong,BROOK TROUT,250,13
472,Franklin,2024-10-28,BARNARD P,Eustis,BROOK TROUT,1250,7
473,Franklin,2024-10-28,GRINDSTONE P,Kingfield,BROOK TROUT,500,7
474,Franklin,2024-10-28,WEBB L,Weld,BROWN TROUT,600,12
475,Franklin,2024-10-28,WEBB L,Weld,L.L. SALMON,100,12
476,Franklin,2024-10-29,WILSON P,Wilton,L.L. SALMON,150,12
477,Franklin,2024-10-30,LUFKIN P,Phillips,BROWN TROUT,100,12
478,Franklin,2024-10-30,MOUNT BLUE P,Avon,BROWN TROUT,200,12
479,Franklin,2024-11-08,NORCROSS P,Chesterville,BROWN TROUT,100,12
480,Franklin,2024-11-14,WILSON P,Wilton,BROOK TROUT,366,12
481,Franklin,2024-11-15,CLEARWATER P,Industry,BROOK TROUT,30,19
482,Franklin,2024-11-15,CROWELL P,New Sharon,BROOK TROUT,25,17
483,Franklin,2024-11-15,NORCROSS P,Chesterville,BROOK TROUT,25,17
484,Franklin,2024-11-15,PORTER L,Strong,BROOK TROUT,75,19
485,Franklin,2024-11-18,WEBB L,Weld,BROOK TROUT,50,17
486,Hancock,2024-04-17,HEART P,Orland,SPLAKE,225,9
487,Hancock,2024-04-18,JACOB BUCK P,Bucksport,SPLAKE,350,9
488,Hancock,2024-04-18,TODDY P,Surry,SPLAKE,1000,9
489,Hancock,2024-04-23,BUBBLE P,Bar Harbor,BROOK TROUT,175,10
490,Hancock,2024-04-23,JONES P,Gouldsboro,BROWN TROUT,300,9
491,Hancock,2024-04-23,SEAL COVE P,Tremont,BROWN TROUT,200,9
492,Hancock,2024-04-24,WEST L,T3 ND,L.L. SALMON,450,7
493,Hancock,2024-04-24,WEST L,T3 ND,BROOK TROUT,700,10
494,Hancock,2024-04-26,DONNELL P,T9 SD,LAKE TROUT,250,7
495,Hancock,2024-04-26,GREEN L,Ellsworth,LAKE TROUT,1350,7
496,Hancock,2024-05-01,FLANDERS P,Sullivan,BROWN TROUT,300,9
497,Hancock,2024-05-01,LILY P,Deer Isle,BROWN TROUT,50,9
498,Hancock,2024-05-01,TODDY P,Surry,BROWN TROUT,1000,9
499,Hancock,2024-05-02,FOX P,T10 SD,BROOK TROUT,200,10
500,Hancock,2024-05-02,LITTLE P,Franklin,BROOK TROUT,225,10
501,Hancock,2024-05-02,ORLAND R,Orland,BROOK TROUT,400,10
502,Hancock,2024-05-02,SIMMONS P,Hancock,BROOK TROUT,125,10
503,Hancock,2024-05-02,TUNK L,T10 SD,BROOK TROUT,1000,10
504,Hancock,2024-05-03,NICATOUS L,T40 MD,SPLAKE,1200,10
505,Hancock,2024-05-07,PICKEREL P,T32 MD,BROOK TROUT,500,10
506,Hancock,2024-05-08,BEECH HILL P,Otis,L.L. SALMON,350,7
507,Hancock,2024-05-08,DONNELL P,T9 SD,L.L. SALMON,450,7
508,Hancock,2024-05-08,MOLASSES P,Eastbrook,L.L. SALMON,50,7
509,Hancock,2024-05-08,TUNK L,T10 SD,L.L. SALMON,400,7
510,Hancock,2024-05-09,BRANCH L,Ellsworth,L.L. SALMON,500,7
511,Hancock,2024-05-09,CRAIG P,Orland,L.L. SALMON,50,7
512,Hancock,2024-05-09,GREEN L,Ellsworth,L.L. SALMON,400,7
513,Hancock,2024-05-09,KING P,Great Pond,BROWN TROUT,200,9
514,Hancock,2024-05-09,LEAD MTN P (LO & MD),T28 MD,BROWN TROUT,300,9
515,Hancock,2024-05-09,LEAD MTN P (UPPER),T28 MD,BROWN TROUT,550,9
516,Hancock,2024-05-09,PATTEN P (LOWER),Surry,L.L. SALMON,200,7
517,Hancock,2024-05-09,PHILLIPS (LUCERNE) L,Dedham,L.L. SALMON,300,7
518,Hancock,2024-05-09,TODDY P,Orland,L.L. SALMON,400,7
519,Hancock,2024-05-14,DUCK L,Oqiton Twp,L.L. SALMON,400,7
520,Hancock,2024-05-14,SIDE PISTOL L,T3 ND,BROOK TROUT,400,9
521,Hancock,2024-05-17,SPRING L,T3 ND,L.L. SALMON,200,7
522,Hancock,2024-05-17,TITCOMB P,T32 MD,BROOK TROUT,350,10
523,Hancock,2024-05-22,BURNT LAND L,T35 MD,SPLAKE,450,10
524,Hancock,2024-05-24,EAGLE L,Bar Harbor,L.L. SALMON,50,7
525,Hancock,2024-05-24,ECHO L,Mount Desert,L.L. SALMON,50,7
526,Hancock,2024-05-24,JORDAN P,Mount Desert,L.L. SALMON,50,7
527,Hancock,2024-05-24,LONG (GREAT) P,Southwest Harbor,L.L. SALMON,225,7
528,Hancock,2024-09-24,CRYSTAL P,T40 MD,BROOK TROUT,700,8
529,Hancock,2024-09-24,LOON P,T40 MD,BROOK TROUT,300,8
530,Hancock,2024-09-24,LOVEJOY P,T34 MD,BROOK TROUT,800,7
531,Hancock,2024-09-24,LOVEJOY P,T34 MD,BROOK TROUT,75,13
532,Hancock,2024-09-24,OXHEAD P (UPPER),T40 MD,BROOK TROUT,450,8
533,Hancock,2024-09-24,SPRING L,T3 ND,BROOK TROUT,1000,8
534,Hancock,2024-09-24,TROUT P,T40 MD,BROOK TROUT,300,8
535,Hancock,2024-09-26,DUCK L,Oqiton Twp,BROOK TROUT,2000,8
536,Hancock,2024-09-26,SELMORE (KILLMAN) P,Oqiton Twp,BROOK TROUT,300,8
537,Hancock,2024-10-02,FLANDERS P,Sullivan,RAINBOW TROUT,800,14
538,Hancock,2024-10-03,ANDERSON P,T10 SD,BROOK TROUT,250,8
539,Hancock,2024-10-03,DUCKTAIL P,Amherst,BROOK TROUT,260,8
540,Hancock,2024-10-03,LILY P,Deer Isle,BROOK TROUT,1100,7
541,Hancock,2024-10-03,LONG P,Sullivan,BROOK TROUT,950,8
542,Hancock,2024-10-03,LONG P (LITTLE),T10 SD,BROOK TROUT,250,8
543,Hancock,2024-10-03,PARTRIDGE P,Amherst,BROOK TROUT,550,8
544,Hancock,2024-10-03,RAINBOW P,T10 SD,BROOK TROUT,600,8
545,Hancock,2024-10-03,SALMON P,T10 SD,BROOK TROUT,300,8
546,Hancock,2024-10-03,TILDEN P,T10 SD,BROOK TROUT,1250,8
547,Hancock,2024-10-03,TROUT P,Amherst,BROOK TROUT,250,8
548,Hancock,2024-10-08,PICKEREL P,T32 MD,BROOK TROUT,600,13
549,Hancock,2024-10-09,JONES P,Gouldsboro,RAINBOW TROUT,700,14
550,Hancock,2024-10-10,WALKER P,Brooksville,BROWN TROUT,700,12
551,Hancock,2024-10-10,WALKER P,Brooksville,BROOK TROUT,500,13
552,Hancock,2024-10-11,FOX P,T10 SD,BROOK TROUT,1200,7
553,Hancock,2024-10-11,FOX P,T10 SD,BROWN TROUT,125,12
554,Hancock,2024-10-11,OXHEAD P (MIDDLE),T40 MD,BROOK TROUT,150,13
555,Hancock,2024-10-11,SPRING RIVER L,T10 SD,BROWN TROUT,700,12
556,Hancock,2024-10-11,SPRING RIVER L,T10 SD,BROOK TROUT,700,13
557,Hancock,2024-10-11,WEST L,T3 ND,BROOK TROUT,300,13
558,Hancock,2024-10-15,BUBBLE P,Bar Harbor,BROOK TROUT,600,7
559,Hancock,2024-10-15,BUBBLE P,Bar Harbor,BROOK TROUT,50,13
560,Hancock,2024-10-15,HADLOCK P (LOWER),Mount Desert,BROOK TROUT,600,7
561,Hancock,2024-10-15,HADLOCK P (LOWER),Mount Desert,BROOK TROUT,75,13
562,Hancock,2024-10-15,HADLOCK P (UPPER),Mount Desert,BROOK TROUT,600,7
563,Hancock,2024-10-15,HADLOCK P (UPPER),Mount Desert,BROOK TROUT,75,13
564,Hancock,2024-10-15,JACOB BUCK P,Bucksport,L.L. SALMON,25,13
565,Hancock,2024-10-15,NICATOUS L,T40 MD,SPLAKE,800,13
566,Hancock,2024-10-16,BRANCH P (UPPER MIDDLE),Aurora,L.L. SALMON,50,13
567,Hancock,2024-10-16,PHILLIPS (LUCERNE) L,Dedham,BROOK TROUT,700,13
568,Hancock,2024-10-17,CRAIG P,Orland,BROOK TROUT,1100,7
569,Hancock,2024-10-17,CRAIG P,Orland,BROOK TROUT,100,13
570,Hancock,2024-10-21,HANCOCK P,Bucksport,BROWN TROUT,100,12
571,Hancock,2024-10-21,JACOB BUCK P,Bucksport,BROOK TROUT,100,13
572,Hancock,2024-10-21,ORLAND R,Orland,BROOK TROUT,150,13
573,Hancock,2024-10-21,PATTEN P (LOWER),Surry,BROWN TROUT,150,12
574,Hancock,2024-10-22,BIRCH HARBOR P,Winter Harbor,BROOK TROUT,175,7
575,Hancock,2024-10-22,BIRCH HARBOR P,Winter Harbor,BROOK TROUT,75,13
576,Hancock,2024-10-22,QUARRY P,Sullivan,BROOK TROUT,150,7
577,Hancock,2024-10-23,WILLIAMS P,T28 MD,BROOK TROUT,250,13
578,Hancock,2024-10-24,EAGLE L,Bar Harbor,BROOK TROUT,3375,7
579,Hancock,2024-10-24,ECHO L,Mount Desert,BROOK TROUT,800,7
580,Hancock,2024-10-24,ECHO L,Mount Desert,BROOK TROUT,300,13
581,Hancock,2024-10-30,LONG (GREAT) P,Mount Desert,BROOK TROUT,500,13
582,Hancock,2024-10-30,LONG P,Great Pond,BROOK TROUT,550,13
583,Hancock,2024-10-30,LONG P,T10 SD,BROWN TROUT,300,12
584,Hancock,2024-10-30,LONG P,T10 SD,BROOK TROUT,350,13
585,Hancock,2024-10-30,MOLASSES P,Eastbrook,BROWN TROUT,300,12
586,Hancock,2024-10-30,ROUND P,Mount Desert,BROOK TROUT,100,13
587,Hancock,2024-10-31,BREAKNECK P (LOWER),Bar Harbor,BROOK TROUT,125,8
588,Hancock,2024-10-31,BREAKNECK P (UPPER),Bar Harbor,BROOK TROUT,125,8
589,Hancock,2024-10-31,HALFMOON P,Bar Harbor,BROOK TROUT,125,8
590,Hancock,2024-10-31,LAKE WOOD,Bar Harbor,BROOK TROUT,600,7
591,Hancock,2024-10-31,NICATOUS L,T40 MD,L.L. SALMON,55,18
592,Hancock,2024-10-31,WEST L,T3 ND,L.L. SALMON,55,18
593,Hancock,2024-10-31,WITCH HOLE P,Bar Harbor,BROOK TROUT,1125,7
594,Hancock,2024-10-31,WITCH HOLE P,Bar Harbor,BROOK TROUT,75,13
595,Hancock,2024-11-04,HOPKINS P,Mariaville,BROOK TROUT,600,13
596,Hancock,2024-11-04,SPRINGY P (LOWER),Otis,BROOK TROUT,300,14
597,Hancock,2024-11-05,SIMMONS P,Hancock,BROOK TROUT,200,8
598,Hancock,2024-11-05,SIMMONS P,Hancock,BROOK TROUT,50,13
599,Hancock,2024-11-05,YOUNGS P,Otis,BROOK TROUT,250,8
600,Hancock,2024-11-05,YOUNGS P,Otis,BROOK TROUT,100,13
601,Hancock,2024-11-07,GREAT P,Great Pond,BROWN TROUT,375,12
602,Hancock,2024-11-13,PICKEREL P,T32 MD,BROOK TROUT,60,14
603,Hancock,2024-11-13,PICKEREL P,T32 MD,BROOK TROUT,50,18
604,Hancock,2024-11-13,SPRING RIVER L,T10 SD,L.L. SALMON,75,16
605,Hancock,2024-11-14,NICATOUS L,T40 MD,L.L. SALMON,525,13
606,Hancock,2024-11-14,OXHEAD P (MIDDLE),T40 MD,BROOK TROUT,50,18
607,Hancock,2024-11-20,BEECH HILL P,Otis,L.L. SALMON,71,19
608,Hancock,2024-11-20,GREEN L,Ellsworth,L.L. SALMON,92,19
609,Hancock,2024-11-20,JACOB BUCK P,Bucksport,L.L. SALMON,28,15
610,Hancock,2024-11-20,PHILLIPS (LUCERNE) L,Dedham,L.L. SALMON,86,15
611,Hancock,2024-11-21,EAGLE L,Bar Harbor,L.L. SALMON,33,19
612,Hancock,2024-11-21,JACOB BUCK P,Bucksport,BROOK TROUT,25,18
613,Hancock,2024-11-21,MOLASSES P,Eastbrook,L.L. SALMON,47,19
614,Hancock,2024-12-03,PICKEREL P,T32 MD,BROOK TROUT,90,14
615,Kennebec,2024-02-21,COCHNEWAGON P,Monmouth,BROOK TROUT,300,13
616,Kennebec,2024-04-12,BELGRADE STREAM,Belgrade,BROOK TROUT,275,10
617,Kennebec,2024-04-12,ECHO L (CROTCHED P),Fayette,BROOK TROUT,550,10
618,Kennebec,2024-04-12,FLYING P,Vienna,BROOK TROUT,220,10
619,Kennebec,2024-04-12,LONG P,Belgrade,BROOK TROUT,165,10
620,Kennebec,2024-04-12,SALMON L (ELLIS P),Belgrade,BROOK TROUT,440,10
621,Kennebec,2024-04-16,ECHO L (CROTCHED P),Fayette,LAKE TROUT,100,6
622,Kennebec,2024-04-16,GOULD P,Sidney,BROOK TROUT,200,10
623,Kennebec,2024-04-16,LITCHFIELD SPORTSMAN CLUB P,Litchfield,BROOK TROUT,100,10
624,Kennebec,2024-04-16,MARANACOOK L,Winthrop,LAKE TROUT,100,6
625,Kennebec,2024-04-16,MINNEHONK L,Mount Vernon,BROOK TROUT,200,10
626,Kennebec,2024-04-16,NARROWS P (LOWER),Winthrop,LAKE TROUT,100,6
627,Kennebec,2024-04-17,MESSALONSKEE L,Oakland,BROOK TROUT,500,10
628,Kennebec,2024-04-17,MESSALONSKEE STREAM,Oakland,BROOK TROUT,440,10
629,Kennebec,2024-04-17,MESSALONSKEE STREAM,Waterville,BROOK TROUT,220,10
630,Kennebec,2024-04-17,MESSALONSKEE STREAM,Waterville,BROOK TROUT,200,10
631,Kennebec,2024-04-18,MESSALONSKEE L,Oakland,BROWN TROUT,150,14
632,Kennebec,2024-04-18,SAM ASSOCIATION P (LOWER SMALL),Augusta,BROOK TROUT,200,10
633,Kennebec,2024-04-18,SAM ASSOCIATION P (UPPER BIG),Augusta,BROOK TROUT,200,10
634,Kennebec,2024-04-19,NARROWS P (LOWER),Winthrop,BROOK TROUT,200,10
635,Kennebec,2024-04-19,NARROWS P (UPPER),Winthrop,BROOK TROUT,400,10
636,Kennebec,2024-04-22,CHINA L,China,BROOK TROUT,200,10
637,Kennebec,2024-04-22,CHINA L,Vassalboro,BROOK TROUT,250,10
638,Kennebec,2024-04-24,TOGUS P,Augusta,BROWN TROUT,400,9
639,Kennebec,2024-04-24,TOGUS P,Augusta,BROOK TROUT,400,10
640,Kennebec,2024-04-24,TOGUS VA HOSPITAL,Augusta,BROOK TROUT,300,10
641,Kennebec,2024-04-25,JAMIES (JIMMIE) P,Manchester,BROOK TROUT,300,10
642,Kennebec,2024-04-25,SAND P (TACOMA LKS),Monmouth,BROOK TROUT,300,10
643,Kennebec,2024-04-25,SEBASTICOOK R,Clinton,BROOK TROUT,250,10
644,Kennebec,2024-04-28,WILSON STREAM,Monmouth,BROOK TROUT,300,10
645,Kennebec,2024-04-28,WOODBURY P,Litchfield,BROOK TROUT,200,10
